"conference_acronym","conference_name","conference_location"
"MLOSS 2018","Machine Learning Open Source Software 2018: Sustainable communities","Palais des Congr¨¨s de Montr¨¦al, Canada"
"ICRAI--ACM, Ei and Scopus 2018","ACM--2018 4th International Conference on Robotics and Artificial Intelligence (ICRAI 2018)--Ei Compendex, Scopus","Guangzhou, China"
"Call for Chapter (IGI Global) 2018","Advanced Data Modeling and Processing With JSON","USA"
"ICACS 2019","International Conference on Advancements in Computational Sciences","Lahore"
"SysML 2019","SysML Conference","Stanford, CA"
"SPML--ACM, EI, Scopus 2018","ACM--2018 International Conference on Signal Processing and Machine Learning (SPML 2018)--EI Compendex, Scopus","Shanghai, China"
"KRR@SAC 2019","KRR@SAC 2019 : Knowledge Representation and Reasoning (track of the 34th ACM/SIGAPP Symposium On Applied Computing)","Limassol (Cyprus)"
"BDML--Ei and Scopus 2018","2018 International Conference on Big Data and Machine Learning (BDML 2018)--Ei Compendex and Scopus","Nagoya, Japan"
"IEEE SITIS - MIRA 2018","IEEE SITIS2018 - Workshop on Multimedia Information Retrieval and Applications","Las Palmas de Gran Canaria, Spain"
"FG 2019","The 14th IEEE International Conference on Automatic Face and Gesture Recognition","Lille, France"
"AIVR--ACM, Ei Compendex and Scopus 2018","ACM--2018 International Conference on Artificial Intelligence and Virtual Reality (AIVR 2018)--Ei Compendex and Scopus","Nagoya, Japan"
"LXAI@NIPS 2018","Latinx in AI @ NIPS 2018","Montreal Convention Center"
"TAAI 2018","The 2018 Conference on Technologies and Applications of Artificial Intelligence","Taichung, Taiwan"
"ICRoM--IOP, Ei and Scopus 2018","IOP--2018 the 2nd International Conference on Robotics and Mechantronics (ICRoM 2018)--Ei Compendex and Scopus","Singapore"
"ICCTA 2018","28th International Conference on Computer Theory and Applications (ICCTA 2018)","Alexandria - Egypt"
"IEEE GCIoT 2018","2018 IEEE Global Conference On The Internet of Things ","Alexandria, Egypt"
"IEEE--ISCMI--EI Compendex and Scopus 2018","2018 IEEE 5th Intl. Conference on Soft Computing & Machine Intelligence (ISCMI 2018)--EI Compendex and Scopus","Nairobi, Kenya"
"CIBI 2018","International Workshop on Computational Intelligence for Brain Imaging (CIBI)","Arlington, Texas, USA "
"ICITISEE 2018","ICITISEE 2018: The 3rd International Conference on Information Technology, Information Systems and Electrical Engineering","Grand Inna Malioboro Hotel, Yogyakarta"
"SoICT  2018","The Ninth International Symposium on Information and Communication Technology ","Danang, Vietnam"
"IEEE FRUCT 2018","23nd Conference of Open Innovations Association FRUCT","Bologna, Italy"
"R3T3 2018","Rethinking, Reworking and Revolutionising The Turing Test conference","University of Edinburgh"
"IIT 2018","13th International Conference on Innovations in Information Technology","Al Ain, United Arab Emirates"
"IFIP/IEEE IM 2019","IFIP/IEEE International Symposium on Integrated Network Management  (IM 2019)","Washington DC, USA"
"ICBDR--Ei & Scopus 2018","2018 The 2nd International Conference on Big Data Research (ICBDR 2018)--Ei Compendex & Scopus","Weihai, China"
"DEC-NYC 2018","DataEngConf NYC '18","Columbia University"
"MIKE 2018","MIKE 2018: 6th International Conference on Mining Intelligence and Knowledge Exploration","Cluj - Napoca, Romania"
"SPIE--ICMV--Scopus, Ei Compendex 2018","SPIE--2018 The 11th International Conference on Machine Vision (ICMV 2018)--Scopus, Ei Compendex","Munich, Germany"
"ICEDA--EI Compendex, Scopus 2018","2018 3rd International Conference on Engineering Design and Analysis (ICEDA 2018)--EI Compendex, Scopus","Nha Trang, Vietnam"
"AAAI 2019","National Conference on Artificial Intelligence","Honolulu, Hawaii"
"WILE 2018","11th Workshop on Intelligent Learning Environments","Guadalajara, M¨¦xico"
"ACDT 2018","The 5th Asian Conference on Defense Technology - ACDT 2018","Hanoi"
"CAIHE 2018","International Workshop on Collaboration with Artificial Intelligence in Health-Care Environments","Shanghai, People¡¯s Republic of China"
"KICSS 2018","13th International Conference on Knowledge, Information and Creativity Support Systems","Pattaya, Thailand"
"iSAI-NLP 2018","13th International Joint Symposium on Artificial Intelligence and Natural Language Processing","Pattaya, Thailand"
"CRoNe 2018","4th Congress con Robotics and Neuroscience","Valpara¨ªso, Chile"
"CIMA 2018","8th International Workshop on Combinations of Intelligent Methods and Applications","Volos, Greece"
"AIAP  2018","Artificial Intelligence and Its Applications","EL-Oued, Algeria"
"RTIS 2018","Third International Conference on Real-Time Intelligent Systems","Taipei"
"ICITCS 2018","8th International Conference on IT Convergence and Security","Bangkok Thailand"
"DIT 2018","Workshop on Data-Driven Intelligent Transportation (in Conjunction with ICDM'18)","Singapore"
"Call for Chapter Proposals 2018","Neutrosophic Sets - Theory and Applications","Science Gate Publishing"
"ACM--ICCBB--Ei and Scopus 2018","ACM--2018 2nd International Conference on Computational Biology and Bioinformatics (ICCBB 2018)--Ei Compendex and Scopus","Bari, Italy"
"ICAAI--ACM, Ei Compendex, Scopus 2018","ACM--2018 The 2nd International Conference on Advances in Artificial Intelligence (ICAAI 2018)--Ei Compendex, Scopus","Barcelona, Spain"
"Book Chapter, IGI Global 2018","Call for Chapters: Post-Narratology Through Computational and Cognitive Approaches","USA"
"FAT* 2019","2019 Conference on Fairness, Accountability, and Transparency","Atlanta, USA"
"ICACR--EI and SCOPUS 2018","2018 2nd International Conference on Automation, Control and Robots (ICACR 2018)--EI Compendex, and SCOPUS","Bangkok, Thailand"
"ACML-MoL 2018","ACML 2018 Workshop on Multi-output Learning","Beijing, China"
"CCIOT 2018","The 2018 International Conference on Cloud Computing and Internet of Things - CCIOT 2018","Nanyang Executive Centre in Nanyang Tech"
"AI^3 2018","AI^3 2018: 2nd Workshop on Advances In Argumentation In Artificial Intelligence (DEADLINE Extended to 18th August 2018)","Trento, Italy"
"IEEE AIVR 2018","IEEE International conference on Artificial Intelligence and Virtual Reality","Taichung, Taiwan"
"TIST Special Issue  2018","ACM TIST Special Issue on Advances in Causal Discovery and Inference","N/A"
"RiTA 2018","The 6th International Conference on Robot Intelligence Technology and Applications","Kuala Lumpur, Malaysia"
"ICTC 2018","The 9th International Conference on Information and Communication Technology Convergence ","Jeju Island, Korea"
"ICCMA--ACM, Ei, Scopus 2018","ACM--2018 The 6th International Conference on Control, Mechatronics and Automation (ICCMA 2018)--Ei Compendex, Scopus","Tokyo, Japan"
"LKE 2018","Language and Knowledge Engineering- 6th Symposium. 29-31 Oct 2018. Puebla, Mexico","Puebla, Mexico"
" LPAR 2018","International Conference on Logic for Programming, Artificial Intelligence and Reasoning","Awassa, Ethiopia"
"RAICoM 2018","International Conference on Recent Advances in Intelligent and Connected Mobility","Coimbra, Potugal"
"SiPML 2018","2018 Workshop on Signal Processing and Machine Learning (SiPML)","Tunghai University, Taichung, Taiwan "
"IWDS 2018","6th IEEE International Workshop on Data Science","Berlin"
"NL4AI 2018","2nd Workshop on Natural Language for Artificial Intelligence","Trento, Italy"
"SCDocShowcase 2018","Doctoral Showcase at Supercomputing","Dallas, TX"
"DELL@ICDM 2018","[CFP] IEEE ICDM 2018 Workshop on Developmental Learning (DELL 2018)","Singapore"
"SAREC 2018","1st Workshop on Scalable and Applicable Recommendation Systems","Singapore"
"AISB 2018","Artificial Intelligence for Synthetic Biology","Arlington, VA"
"AI3D 2018","International Workshop on Artificial Intelligence for 3D Bigdata Processing (Co-located with IEEE AIKE 2018)","Laguna Hills, California, USA"
"ICACTE 2018","2018 The 11th International Conference on Advanced Computer Theory and Engineering (ICACTE 2018)","Hanoi, Vietnam"
"MLMI--Ei Compendex, Scopus 2018","ACM--2018 International Conference on Machine Learning and Machine Intelligence (MLMI 2018)--Ei Compendex, Scopus","Hanoi, Vietnam"
"WOMoCoE 2018","3rd International Workshop on Ontology Modularity, Contextuality, and Evolution","Tempe, Arizona"
"CORE 2018","CORE Congress 2018 - CIC IPN MX","Mexico City"
"PRIMA 2018","The 21st International Conference on Principles and Practice of Multi-Agent Systems","Tokyo, Japan"
"ICVGIP 2018","Indian Conference on Computer Vision, Graphics and Image Processing","Hyderabad, India"
"ACML 2018","The 10th Asian Conference on Machine Learning","Beijing, China"
"AACR - AI in Cancer 2018","AACR - Artificial Intelligence, Big Data and Prediction in Cancer","Rhode Island"
"IWAISe 2018","2nd International Workshop on A.I. in Security","Dublin"
"Intelligent Virtual Agents (SI) 2018","Special Issue on Intelligent Virtual Agents","Multimodal Tehcnologies and Interaction"
"SKG 2018","The 14th International Conference on Semantics, Knowledge and Grids on Big Data, AI and Future Interconnection Environment","Guangzhou, China"
"ICITT--EI Compendex, Scopus 2018","2018 2nd International Conference on Intelligent Traffic and Transportation (ICITT 2018)--EI Compendex, Scopus","Stockholm, Sweden"
"ICIIT 2018","International Conference on Intelligent Information Technologies ","CHENNAI, INDIA"
"E&C 2018","3rd International Conference on Electrical & Computer Engineering ","Dubai,UAE"
"AISO  2018","4th International Conference on Artificial Intelligence and Soft Computing","Dubai,UAE"
"CSEN  2018","5th International Conference on Computer Science and Engineering ","Dubai,UAE"
"AISO  2018","4th International Conference on Artificial Intelligence and Soft Computing","Dubai,UAE"
"CSEN  2018","5th International Conference on Computer Science and Engineering","Dubai,UAE"
"HM 2019","11th International Workshop on Hybrid Metaheuristics","Concepci¨®n, Chile"
"scis-isis2018dmoo 2018","Special Session Advances on Dynamic Multi-objective Optimization and its Applications","Japan"
"SCIS-ISIS 2018","Joint 10th International Conference on Soft Computing and Intelligent Systems and 19th International Symposium on Advanced Intelligent Systems","Toyama, Japan"
"AIKE 2018","The First IEEE International Conference on Artificial Intelligence and Knowledge Engineering (deadline extended)","Laguna Hills, CA"
"AI World Cup 2018","Challenge AI World Cup 2018 !","KAIST Daejeon, Korea"
"CyberC 2018","The 10th International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery","China"
"ICCR--EI and Scopus 2018","2018 International Conference on Control and Robot (ICCR 2018)--EI Compendex and Scopus","Hong Kong"
"ICIVP--EI, Scopus 2018","2018 International Conference on Image and Video Processing (ICIVP 2018)--EI Compendex, Scopus","Macau, China"
"ACM--NLPIR--Ei Compendex and Scopus 2018","ACM--2018 2nd International Conference on Natural Language Processing and Information Retrieval (NLPIR 2018)--Ei Compendex and Scopus","Bangkok, Thailand"
"DARE 2018","ECMLPKDD 2018, 6th International Workshop on Data Analytics for Renewable Energy Integration","Dublin, Ireland"
"IVI 2018","Special Session on Intelligent Visual IoT: Tools and applications","Hanoi, Vietnam"
"ACM--WSSE--ACM, Ei Compendex, Scopus 2018","ACM--The World Symposium on Software Engineering (WSSE 2018)--Ei Compendex, Scopus","Wuhan, Hubei, China"
"KMH 2018","ACM 1st International Workshop on Knowledge Management for Healthcare","Lingotto, Turin, Italy"
"CMECE--EI, Scopus 2018","2018 5th International Conference on Mechanical, Electronics and Computer Engineering (CMECE 2018)--EI Compendex, Scopus","Singapore"
" AI & IoT 2018","Pharma AI & IoT 2018","Canary Riverside Plaza Hotel, London UK"
"HPML 2018","High Performance Machine Learning","Lyon - France"
"IoT & AI Summit 2018","5th IoT & AI Summit 2018","Sterlings Mac (Matthan Hotel) Bangalore,"
"DSS 2018","4th International Workshop on Data-Driven Self-Regulating Systems","Trento, Italy"
"NEMESIS 2018","1st Workshop on Recent Advances in Adversarial Machine Learning - ECML/PKDD","Dublin, Ireland"
"IEEE--ICAVE--Ei and Scopus 2018","2018 2nd International Conference on Automotive and Vehicle Engineering (ICAVE 2018)--IEEE, Ei Compendex and Scopus","Singapore"
"IEEE--ICITE--Ei and Scopus 2018","IEEE--2018 3rd International Conference on Intelligent Transportation Engineering (ICITE 2018)--Ei Compendex and Scopus","Singapore"
"MIWAI 2018","The 12th Multi-Disciplinary International Conference on Artificial Intelligence","Hanoi, Vietnam"
"KDD-DeepLearningDay 2018","ACM SIGKDD 2018 Deep Learning Day Call for Papers","London, UK"
"SAI 2018","7th International Conference on Soft Computing, Artificial Intelligence and Applications - UGC Listed Proceedings","Chennai,India"
"ICIIP--Ei and Scopus 2018","2018 the 7th International Conference on Intelligent Information Processing (ICIIP 2018)--Ei Compendex and Scopus","Barcelona, Spain"
"CICET 2018","The International Conference on Recent Advancements in Computing, IoT and Computer Engineering Technology 2018","The Tamkang University Taipei, Taiwan"
"MIPPSNA 2018","Multimedia Information Processing for Personality & Social Network Analysis  Workshop @ ICPR 2018","Beijing, China"
"AI-learning 2018","The First International Workshop on AI & Deep Learning","China"
"SI-AIMHD 2018","Special Issue on Artificial Intelligence for Mobile Health Data Analysis and Processing","N/A"
"ICRCA--ACM, Ei Compendex and Scopus 2018","2018 The 3rd International Conference on Robotics, Control and Automation (ICRCA 2018)--ACM, Ei Compendex and Scopus","Chengdu, China"
"ICRMV--SPIE, Scopus, Ei and CPCI 2018","SPIE--2018 3rd International Conference on Robotics and Machine Vision (ICRMV 2018)--Scopus, Ei Compendex and CPCI","Chengdu, China"
"Kaleidoscope 2018","ITU Kaleidoscope 2018 - Machine learning for a 5G future","Santa Fe, Argentina"
"CEEC 2018","10th Computer Science and Electronic Engineering Conference","Colchester, UK"
"IEEE--IRCE--EI, Scopus 2018","IEEE--2018 International Conference on Intelligent Robotic and Control Engineering (IRCE 2018)--EI Compendex, Scopus","Lanzhou, China"
"SYNASC  2018","20th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing","Timisoara, Romania"
"DKBKIK 2018","The 7th Workshop on Dynamics of Knowledge and Belief (DKB-2018) and the 6th Workshop KI & Kognition (KIK-2018):  Formal and Cognitive Reasoning","Berlin"
"iWOAR 2018","5th International Workshop on Sensor-based Activity Recognition and Interaction","Berlin, Germany"
"AIPR--Ei Compendex and Scopus 2018","2018 International Conference on Artificial Intelligence and Pattern Recognition (AIPR 2018)--Ei Compendex and Scopus","Beijing, China"
"ISCBI--Ei Compendex and Scopus 2018","2018 6th International Symposium on Computational and Business Intelligence (ISCBI 2018)--Ei Compendex and Scopus","Basel, Switzerland"
